Username,Address,Rating,Comment
Kim Vũ,Lake of the Restored Sword,1,"DO NOT COME HERE, if you do, DO NOT BUY anything from street seller. Even you asked for pricing, they will rob you with high price and if you against, the seller will yell at you. Polices are terrible in English, police can help but need a lot of time. So annoying."
Thy,Lake of the Restored Sword,1,There are many scammers around the lake. Don't buy anything in this area. Me and my friend were scammed by lady sold bag of fruit for 300k vnd
Wonderful Life,Lake of the Restored Sword,1,"Never come to Hanoi. Chaos place with nothing! Nothing but noise, traffic, unhealthy food. Worst place visited in Asia which I travel for 20 years now."
Sebastian Dietrich,Lake of the Restored Sword,1,"Toller ort, leider zu viele betrüger anwesend....achtung schuhputzer und fake künstler"
Chee Keong Lee,Lake of the Restored Sword,1,Boring place not attractive at all
Sean Phùng Tuấn Anh,Lake of the Restored Sword,1,Hate the entrance fee.
Thảo Nguyên,Lake of the Restored Sword,1,Boring place
kaz c,Lake of the Restored Sword,1,Pickpockets everywhere
희정님,Lake of the Restored Sword,1,ㅎㅎ
张一,Lake of the Restored Sword,1,脏乱差
Lil Trịnh,Lake of the Restored Sword,2,"Đi HN nhiều nên mình ko chụp hình. Hồ Hoàn Kiếm cuối tuần vẫn đẹp, vẫn thơ mộng. Có điều mấy người bán đồ uống, trái cây chặt chém quá mức. Chẳng hạn như bán trái cây thập cẩm 200k/kg. Nhà nước nên có biện pháp quản lý cơ chế giá quanh hồ để ko ảnh hưởng đến trải nghiệm quá tệ khi đến đây. Thực sự sau khi mua xong 3 quả đào hết 50k, cả nhà tôi ai cũng thấy tệ."
Lam Flower,Lake of the Restored Sword,2,"2 lần ra Hà Nội, 1 lần bị mẹ bán hàng nói xấu sau lưng dù lần này chỉ ra đúng 3 tiếng rồi về lại SG, và 1 lần bị nghe chửi, lần này ở 3 ngày.

Ngán dân ở đây qué đê, không làm gì nó cũng kiếm chuyện với mình... Không muốn đến đây thêm lần nào nữa."
Quân Nguyễn Văn,Lake of the Restored Sword,2,"Nước hồ bẩn, quá nhiều tảo lục+ cá chết+ rác thải. Không gian rộng,có nhiều cây xanh và gió."
Đoàn Ngọc Thái,Lake of the Restored Sword,2,"Nơi mà ai tới Hà nội cũng cần phải tới ít nhất một lần. Là nơi uy nghiêm, hội tụ năng lượng của đất trời. Nơi này có truyền thuyết trả gươm thần của Lê Lợi và thần Kim quy.
Mỗi khi cảm thấy tinh thần không được tốt, hãy dành cho mình một khoảng thời gian để tới đó nạp lại năng lượng tự nhiên bằng đi bộ, ăn quà ở các cửa hàng, quán ăn bên đường, bạn sẽ cảm nhận được linh hồn của đất và người Hà nội."
hieu vu,Lake of the Restored Sword,2,"Hồ hoàn kiếm là tâm điểm văn hoá của Hà Nội. Một địa danh rất đẹp và là nơi thu hút du lịch cũng như nguồn thu lớn của tp. Tuy nhiên còn rất nhiều vấn đề chưa tốt:
- Bẩn, bẩn từ hè phố cho đến nước hồ, rác ngập quanh những điểm ăn uống, xác cá chết khắm trong gió, thậm chỉ phân trên vỉa hè.
- Lấn chiếm vỉa hè kinh doanh, ghế nhựa xung quanh hồ, ghế công cộng k đủ cho du khách, ngồi vạ vật trên nền vỉa hè vốn đã rất bẩn.
- Nhà vệ sinh ít và cũng bẩn không kém.

Là bộ mặt văn hoá của Hà nội đối với bạn bè quốc tế, rất mong tp chú trọng hơn để cải thiện sớm. Người dân mình còn thấy phản cảm thì khách du lịch còn e ngại hơn."
Tin Nguyen,Lake of the Restored Sword,2,"Bị lừa chụp hình. Suýt bị lừa xem bói, xem tử vi và các hình thức chèo kéo mua bán khác. Trải nghiệm tệ."
anh khac roi,Lake of the Restored Sword,2,Nói chung là cũng bình thường thôi hihi
Phan Louis,Lake of the Restored Sword,2,Gửi xe 30k/xe . K chấp nhận nổi
Hoang Vu,Lake of the Restored Sword,2,Khu cầu Thê Húc mua vé mới vào được
Long Phạm,Lake of the Restored Sword,2,"Bản trước ấn vào địa điểm là chỉ đường đến , bản này không có"
COVID PHƯƠNG,Lake of the Restored Sword,2,Không có nơi đỗ xe du lịch ... chán
Thái Huy Tô,Lake of the Restored Sword,2,"Nước hồ bẩn quá, buôn bán vỉa hè nhớp."
Lê Quang Huy,Lake of the Restored Sword,2,"CTY CP đầu tư, ty"
Moc Meo,Lake of the Restored Sword,2,nước hồ xanh như mực viết ấy hê hê
VŨ TR,Lake of the Restored Sword,2,Đang sửa chữa. Xấu quá
Anh Tư,Lake of the Restored Sword,2,Không sạch sẻ..
sam pham,Lake of the Restored Sword,2,Đông
Lana Benet,Lake of the Restored Sword,2,Toàn người là người
Luc Vu,Lake of the Restored Sword,2,Bẩn
Phong Lộc,Lake of the Restored Sword,2,Khu du lich
Mr. Đang Bận,Lake of the Restored Sword,2,Tạm
Ayu Permatasari,Lake of the Restored Sword,2,"Biasa aja. Buat santai sore ok, tapi kalau yang waktunya sempit jangan buang waktu ke sini.
Foto di jembatan bayar 50.000 vietnamdong.
Tidak banyak yang bisa diexplore."
sikin sh,Lake of the Restored Sword,2,"Tempat sangat bagus untuk kerja sambil liburan, ramai pengunjung keliling banyak orang berjualan. Sayangnya ada pedagang perempuan jualan kue khas Vietnam yang memaksa beli. Sudah di beri uangpun tetap marah karena minta uang lebih banyak lagi. Secara umum pemandangan bagus dan ok"
苏鑫雨,Lake of the Restored Sword,2,"很一般的一个景点。
湖泊面积很小，没啥好玩的。"
Abhinav Jajoo,Lake of the Restored Sword,2,"Fake tourist site. You can go there, take a walk and seat beside lake. But no activity as such. Many better options available in Vietnam. Instead go shopping in markets."
Emily,Lake of the Restored Sword,2,"Extremely dirty lake.
I found 48 dead fish while walking around this lake. And a bunch of trash. Disgusting.
I can’t take instagrammable photos at the spot like this."
MINH QUAN DO,Lake of the Restored Sword,2,"Beautiful scenery, but the lake water is polluted, so the smell is very unpleasant."
Louie Vulcan,Lake of the Restored Sword,2,"The backstory is interesting, but the view is pretty underwhelming."
Irene T,Lake of the Restored Sword,2,"The place is great but BEWARE of pickpockets in Hoan Kiem Lake. My wallet got stolen last Sunday, and just saw my bag was open when these girls were pushing me. Good thing they only stole the wallet and not the passports. We went back during the night and witnessed how they were moving by group of 5-6 women who were trying to get something from the foreigner’s backpack. Here are the photos for reference. 1 old lady was receiving the stolen goods while the younger women roam around. BE CAREFUL!"
hello,Lake of the Restored Sword,2,That's good
حمزه أحمد,Lake of the Restored Sword,2,مكان جميل لكن .. المشكله ان كل المكان عشان المعبد حققهم
Luaay E,Lake of the Restored Sword,2,"Bad experience from that place.While I was walking my Asian girlfriend in 2016,drunk Vietnamese man started to harass us,especially her for dating a foreigner.In the scoffile he started he issued threats and became physical ,total racist scum.
Later that night ,local mafia attempted to charge spots for motorbike parking near that lake,which was totally illegal."
Quaan,Lake of the Restored Sword,2,too crowded and lots of Vietnamese r there tryin' to talk to foreingers and disturb them! Not a good place for a foreigner to be at
張震賢,Lake of the Restored Sword,2,湖水嚴重優養，惡臭。周邊小販充斥質量太差了！
어마어마,Lake of the Restored Sword,2,"별루 볼께 없고  너무 더워요
주말엔  길거리 다 막고 공연함"
이윤석,Lake of the Restored Sword,2,여기는 한바퀴 도는게 의미있는 호수.. 그냥 사람구경이 재밌음
Natalya Kumar,Lake of the Restored Sword,2,Not the lake you expect in US
Neil W,Lake of the Restored Sword,2,It's a lake and not a particularly good one. Dirty and surrounded by busy traffic.
bader alotaibi,Lake of the Restored Sword,2,👌🏻 …
花无缺,Lake of the Restored Sword,2,景色一般，没有什么看点！
Phương Nguyễn,Lake of the Restored Sword,2,Hhcv
Nguyễn Hữu Phong,Lake of the Restored Sword,2,Iu
Karen Campos,Lake of the Restored Sword,2,"Not much to love about it, sorry ☹️"
牛牛,Lake of the Restored Sword,2,Dirty. Not really that spectacular.
jong,Lake of the Restored Sword,2,오토바이 매연.ㅠ
Hồng Hảo Nguyễn,Lake of the Restored Sword,2,Cut
Quang Lê,Lake of the Restored Sword,2,Ótteftfyxyz
CHÉM GIÓ 365 NGÀY,Lake of the Restored Sword,3,"Với tôi thì Hà Nội chỉ vậy, không hơn không kém. Thế là khá rồi"
Chloe,Lake of the Restored Sword,3,Quá nổi tiếng rồi. Tôi đánh giá để lấy điểm trên google thôi chứ bình luận cái gì bây giờ lol
